kashi_pair,pair_address,asset,asset_address,collateral,collateral_address
kmDAI/WETH-LINK,0x9b18df61c94672e08fd1605e50fd27c70065535b,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmAAVE/DAI-LINK,0x99c0fbdf5b56bada277fbd407211c8add58c25e0,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6
kmWMATIC/CEL-LINK,0x339636e9cc2ec25014478c9e6813064de8b82016,CEL,0x1a3acf6D19267E2d3e7f898f42803e90C9219062,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmWETH/USDC-LINK,0xd51b929792cfcde30f2619e50e91513dcec89b23,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmWBTC/JPYC-LINK,0x1a2729e31e4e85388b09f35674ad6165d007e705,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063
kmWETH/WETH-LINK,0x170b87cc826c4f5593bc9f57aee786a2bb99cc26,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmJPYC/WETH-LINK,0x1431587bcedaf46a68d11ab20a0f2a8a6ec50aab,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E
kmSUSHI/CEL-LINK,0x40d0f825c88d28867db73480bb2b33b841c049d6,CEL,0x1a3acf6D19267E2d3e7f898f42803e90C9219062,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmLINK/JPYC-LINK,0x7f188d474a29c0a54bbd5806205be168a487a26c,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
kmWMATIC/JPYC-LINK,0xb77c30604d51aa6e2d9b53f5f2cfbe0716dfd4b4,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
